AmB,AuB,BMA,BmB,FrB,HeB,HKB,IsB,JaB,JoB,LnB,LxB,MeB,MoB,MxB,NYB,RiB,SiB,SPB,SyB,Tgt,TkB,TrB,WeB,ZuB,BxB,RJB,SPB,BeB,MwB,SeB,TpB,KLB,BkB,NBR,ViB
20080101,20091026,20150719,20050815,20080324,20090101,20030508,20121026,20110629,20071217,20060529,20080321,20060417,20070101,20121102,20050704,20100101,20060512,20100709,20080128,20121226,19980720,20080321,20071225,20090410,20180907,20171012,20100709,20100616,20051104,20090126,20110228,20061225,20060102,20190419,20071026
20080321,20091225,20150725,20050822,20080501,20090106,20030604,20121029,20110817,20071225,20060828,20080324,20060425,20070102,20121119,20050905,20100108,20060809,20100907,20080321,20130101,19980915,20080519,20071226,20090413,20181012,20171102,20100907,20100922,20060102,20090127,20110404,20070101,20060213,20190501,20071101
20080324,20091228,20150726,20050907,20080512,20090410,20030701,20130101,20110829,20071226,20061225,20080501,20060612,20070406,20121212,20051010,20100115,20061024,20101012,20080324,20130329,19980923,20080701,20080101,20090501,20181102,20171115,20101012,20100923,20060103,20090501,20110405,20070102,20060406,20190620,20071224
20080430,20100101,20150801,20050930,20080522,20090413,20030912,20130423,20110830,20080101,20061226,20080512,20061107,20070521,20121225,20051111,20100122,20061225,20101102,20080425,20130401,19981103,20080804,20080102,20090521,20181115,20171120,20101102,20100924,20060104,20090505,20110502,20070201,20060413,20191115,20071225
20080501,20100104,20150802,20051012,20081003,20090501,20031001,20130501,20110831,20080321,20070101,20080623,20061225,20070625,20130101,20051124,20100129,20070101,20101115,20080609,20130501,19981123,20080901,20080121,20090601,20181130,20171225,20101115,20101001,20060105,20091002,20110606,20070219,20060414,20191225,20071226
20080512,20100201,20150808,20051101,20081224,20090521,20031225,20130808,20110901,20080324,20070406,20080815,20061226,20070702,20130204,20051226,20100205,20070102,20101231,20080804,20131225,19981223,20081013,20080206,20091225,20181225,20171229,20101231,20101004,20060106,20091225,20110912,20070220,20060419,20200101,20080101
20081225,20100402,20150809,20051103,20081225,20090619,20031226,20130809,20110902,20080428,20070409,20081225,20070101,20070903,20130318,20060102,20100212,20070219,20110125,20081006,20131226,19981231,20081111,20080321,20100101,20181231,20180101,20110125,20101005,20060109,20100101,20111010,20070426,20060501,20200224,20080324
20081226,20100405,20150815,20051104,20081226,20091224,20040101,20130830,20111226,20080501,20070507,20081226,20070126,20071008,20130328,20060116,20100219,20070220,20110307,20081225,20140101,19990101,20081225,20080324,20100402,20190101,20180212,20110307,20101006,20060223,20100215,20120123,20070501,20060505,20200225,20080501
20090101,20100607,20150816,20051115,20081231,20091225,20040122,20131015,20120123,20080502,20070528,20090101,20070312,20071112,20130329,20060220,20100226,20070406,20110308,20081226,20140418,19990115,20081226,20080425,20100405,20190304,20180213,20110308,20101007,20060224,20100301,20120124,20070502,20060512,20200410,20080512
20090410,20101025,20150822,20060111,20090101,20100101,20040123,20131016,20120323,20080616,20070827,20090410,20070406,20071225,20130501,20060529,20100305,20070501,20110421,20090101,20140421,19990211,20090101,20080602,20100513,20190305,20180330,20110421,20110103,20060308,20100505,20120125,20070831,20060612,20200421,20080522
20090413,20101227,20150823,20060126,20090410,20100106,20040405,20131017,20120406,20080924,20071225,20090413,20070409,20071226,20130916,20060704,20100312,20070531,20110422,20090126,20140501,19990322,20090216,20081027,20100524,20190419,20180423,20110422,20110202,20060501,20100521,20120126,20071015,20060613,20200501,20080815
20090430,20101228,20150829,20060209,20090413,20100402,20040409,20131018,20120517,20081216,20071226,20090501,20070425,20080101,20131118,20060904,20100319,20070809,20110623,20090410,20141225,19990429,20090410,20081225,20110422,20190501,20180501,20110623,20110203,20060508,20100602,20120127,20071108,20060711,20200611,20081208
20090521,20110103,20150830,20060315,20090501,20100405,20040412,20131029,20120518,20081225,20080101,20090521,20070611,20080102,20131212,20061009,20100326,20071108,20110907,20090413,20141226,19990503,20090518,20081226,20110425,20190620,20180531,20110907,20110204,20060509,20100921,20120227,20071220,20060814,20200907,20081224
20090601,20110104,20150905,20060330,20090521,20100513,20040526,20140101,20120817,20081226,20080321,20090601,20071106,20080321,20131225,20061123,20100402,20071220,20111012,20090608,20150101,19990504,20090701,20090101,20110602,20191115,20180907,20111012,20110207,20060612,20100922,20120228,20071225,20060920,20201012,20081225
20091225,20110131,20150906,20060406,20090601,20100625,20040622,20140423,20120820,20090101,20080324,20090623,20071225,20080519,20140101,20061225,20100409,20071225,20111102,20090803,20150403,19990505,20090803,20090102,20110613,20191225,20181012,20111102,20110208,20061106,20100923,20120404,20080101,20061023,20201102,20081226
20100101,20110422,20150907,20060411,20090611,20101206,20040701,20140501,20120821,20090410,20080505,20091225,20071226,20080624,20140203,20070101,20100416,20080101,20111115,20091005,20150406,19990720,20090907,20090119,20110801,20191231,20181102,20111115,20110404,20070101,20110202,20120501,20080110,20061205,20201225,20090101
20100402,20110425,20150912,20060414,20091224,20101224,20040929,20140519,20120822,20090413,20080526,20100101,20080101,20080701,20140317,20070115,20100423,20080207,20111230,20091225,20150501,19990915,20091012,20090206,20111226,20200101,20181115,20111230,20110405,20070102,20110203,20120802,20080123,20061211,20210101,20090106
20100405,20110606,20150913,20060501,20091225,20110106,20041001,20140728,20121026,20090422,20080825,20100402,20080128,20080901,20140417,20070219,20100430,20080208,20120125,20091228,20151225,19990923,20091111,20090410,20120102,20200224,20181120,20120125,20110502,20070103,20110204,20121010,20080201,20070101,20210215,20090413
20100430,20111024,20150919,20060815,20091231,20110422,20041022,20140729,20121115,20090427,20081225,20100405,20080310,20081013,20140418,20070528,20100507,20080321,20120220,20100101,20160101,19991011,20091225,20090413,20120406,20200225,20181225,20120220,20110606,20070104,20110301,20121231,20080207,20070102,20210216,20090501
20100505,20111226,20150920,20061002,20100101,20110425,20041227,20140730,20121116,20090501,20081226,20100513,20080321,20081111,20140501,20070704,20100514,20080501,20120221,20100126,20160325,19991103,20091228,20090601,20120409,20200410,20181231,20120221,20110912,20070105,20110505,20130101,20080208,20070305,20210402,20090521
20100513,20111227,20150926,20061023,20100402,20110602,20050209,20141006,20121224,20090616,20090101,20100524,20080324,20081225,20140916,20070903,20100521,20080519,20120406,20100402,20160328,19991123,20100101,20091026,20120501,20200421,20190101,20120406,20111003,20070108,20110510,20130211,20080320,20070406,20210421,20090601
20100524,20120102,20150927,20061024,20100405,20110624,20050210,20141007,20121225,20090810,20090410,20100623,20080425,20081226,20141117,20071008,20100528,20081001,20120501,20100405,20161226,19991223,20100215,20091225,20120517,20200501,20190304,20120501,20111004,20070223,20110606,20130212,20080501,20070413,20210603,20090611
20110422,20120103,20151003,20061025,20100513,20111206,20050211,20141029,20121231,20090924,20090413,20101101,20080609,20090101,20141212,20071112,20100604,20081027,20120607,20100426,20170414,19991231,20100402,20091228,20120528,20200611,20190305,20120607,20111005,20070308,20110815,20130213,20080519,20070416,20210907,20091026
20110425,20120130,20151004,20061225,20100524,20111226,20050325,20150101,20130101,20091216,20090504,20110422,20081104,20090102,20141225,20071122,20100611,20081208,20120709,20100614,20170417,20000103,20100524,20100101,20120801,20200907,20190419,20120709,20111006,20070430,20110912,20130214,20080901,20070501,20211012,20091208
20110602,20120206,20151010,20070101,20100603,20120106,20050328,20150423,20130124,20091225,20090525,20110425,20081225,20090410,20150101,20071225,20100618,20081225,20120907,20100802,20170501,20000110,20100701,20100104,20121225,20201012,20190423,20120907,20111007,20070501,20110913,20130215,20081001,20070507,20211102,20091224
20110613,20120406,20151011,20070126,20101224,20120406,20050405,20150501,20130312,20100101,20090831,20110602,20081226,20090518,20150202,20080101,20100625,20090101,20121012,20101004,20171225,20000211,20100802,20100125,20121226,20201102,20190501,20121012,20120102,20070509,20111003,20130228,20081002,20070531,20211115,20091225
20111226,20120409,20151012,20070130,20101231,20120409,20050502,20150519,20130329,20100322,20091225,20110613,20090101,20090624,20150316,20080121,20100702,20090126,20121102,20101227,20171226,20000320,20100906,20100402,20130101,20201130,20190620,20121102,20120103,20070611,20120123,20130404,20081027,20070730,20220228,20100101
20120406,20120425,20151017,20070216,20110422,20120501,20050516,20150717,20130509,20100402,20091228,20110623,20090126,20090701,20150402,20080218,20100709,20090127,20121115,20101228,20180101,20000503,20101011,20100405,20130102,20201225,20191115,20121115,20120123,20070612,20120124,20130405,20081208,20070813,20220301,20100106
20120409,20120604,20151018,20070319,20110425,20120517,20050701,20150924,20130606,20100405,20100101,20110815,20090309,20090907,20150403,20080526,20100716,20090410,20121120,20110103,20180330,20000504,20101111,20100607,20130329,20201231,20191120,20121120,20120124,20071105,20120301,20130501,20081225,20071023,20220415,20100405
20120430,20121022,20151024,20070327,20110602,20120622,20050919,20150925,20130807,20100427,20100402,20111101,20090410,20091012,20150501,20080704,20100723,20090501,20121225,20110126,20180402,20000505,20101227,20101025,20130401,20210101,20191225,20121225,20120125,20071231,20120411,20130612,20081229,20071205,20220421,20100513
20120517,20121225,20151025,20070402,20110613,20121206,20051011,20151029,20130808,20100616,20100405,20111226,20090413,20091111,20150916,20080901,20100730,20090810,20121231,20110422,20180501,20000720,20101228,20101227,20130501,20210215,20191231,20121231,20120126,20080101,20120501,20130821,20090101,20071210,20220616,20100524
