old_name,old_file,name_stub,validation_wrapper_called,proposed_new_category,keep_drop_merge,notes
meLWOCurveMarketDataBumpAll,meLWOCurves.cpp,LWO,tryMeLWOCurveMarketDataBumpAll,,,
meLWOCurveMarketDataBumpInstrument,meLWOCurves.cpp,LWO,tryMeLWOCurveMarketDataBumpInstrument,,,
meLWOCurveMarketDataBumpClear,meLWOCurves.cpp,LWO,tryMeLWOCurveMarketDataBumpClear,,,
meLWOCurveBumpAll,meLWOCurves.cpp,LWO,tryMeLWOCurveBumpAll,,,
meLWOCurveBumpInstrument,meLWOCurves.cpp,LWO,tryMeLWOCurveBumpInstrument,,,
meLWOCurveDiscountFactorsWithSpread,meLWOCurves.cpp,LWO,tryMeLWOCurveDiscountFactorsWithSpread,,,
meLWOCurveCalibrateFromObject,meLWOCurves.cpp,LWO,tryMeLWOCurveCalibrate,,,
meLWOFXCurveCreate,meLWOFX.cpp,LWOFX,tryMeLWOFXCurveCreate,,,
meLWOFXForwardsFromDiscountCurves,meLWOFX.cpp,LWOFX,,,,
meLWOFXSwapFromDiscountCurves,meLWOFX.cpp,LWOFX,,,,
meLWOFXForwards,meLWOFX.cpp,LWOFX,tryMeLWOFXForwards,,,
meLWOFXSwap,meLWOFX.cpp,LWOFX,,,,
meLWOFXForwardsFromXccyCurveObject,meLWOFX.cpp,LWOFX,,,,
meLWOFXSwapFromXccyCurveObject,meLWOFX.cpp,LWOFX,,,,
meLWOFXForwardsFromXccyCurve,meLWOFX.cpp,LWOFX,,,,
meLWOFXSpotToAsOfDate,meLWOFX.cpp,LWOFX,tryMeLWOFXSpotToAsOfDate,,,
meLWOFXAsOfDateToSpot,meLWOFX.cpp,LWOFX,tryMeLWOFXAsOfDateToSpot,,,
meLWOFraCreate,meLWOFra.cpp,LWO,,,,
meLWOFraDisplay,meLWOFra.cpp,LWO,tryMeLWOFraDisplay,,,
meLWOFraRate,meLWOFra.cpp,LWO,tryMeLWOFraRate,,,
meLWOFraToFuturePrice,meLWOFra.cpp,LWO,tryMeLWOFraToFuturePrice,,,
meLWOFraToFuturePriceFromConvAdj,meLWOFra.cpp,LWO,tryMeLWOFraToFuturePriceFromConvAdj,,,
meLWOFraPV,meLWOFra.cpp,LWO,tryMeLWOFraPV,,,
meLWOFraDisplayCashflows,meLWOFra.cpp,LWO,tryMeLWOFraDisplayCashflows,,,
meLWOGridCreate,meLWOGrids.cpp,LWO,tryMeLWOGridCreate,,,
meLWOGridSave,meLWOGrids.cpp,LWO,tryMeLWOGridSave,,,
meLWOGridLoad,meLWOGrids.cpp,LWO,tryMeLWOGridLoad,,,
meLWOGridDisplay,meLWOGrids.cpp,LWO,tryMeLWOGridDisplay,,,
meLWOMultiGridCreate,meLWOGrids.cpp,LWO,,,,
meLWOMultiGridDisplay,meLWOGrids.cpp,LWO,tryMeLWOMultiGridDisplay,,,
meLWOMultiGridSave,meLWOGrids.cpp,LWO,tryMeLWOGridSave,,,
meLWOMultiGridLoad,meLWOGrids.cpp,LWO,tryMeLWOGridLoad,,,
meLWOGridObjectNames,meLWOGrids.cpp,LWO,tryMeLWOGridObjectNames,,,
meLWOMultiGridSubNames,meLWOGrids.cpp,LWO,tryMeLWOMultiGridSubNames,,,
meLWOGridDelete,meLWOGrids.cpp,LWO,tryMeLWOGridClearOne,,,
meLWOGridDeleteAll,meLWOGrids.cpp,LWO,tryMeLWOGridClearAll,,,
meLWOInflationCurveCreate,meLWOInflationPricing.cpp,LWO,,,,
